Nome Parametro,GUID Parametro,Stato
_Gruppo strutturale,642088b0-36e2-405f-8c79-cef32271b402,0
_Zona,5ea03def-f9fb-425d-acf7-2a5198a8a7ce,0
EC PT soffitto flusso verticale,8966e722-8512-407f-8de0-d7416e7c2a7b,0
EC PT soffitto flusso orizzontale,3c985070-4416-47eb-b0b0-e2ab63ae89be,0
EC PT pavimento flusso verticale,266da41e-ff46-4a4f-8b94-caa0117bb8c8,0
EC PT pavimento flusso orizzontale,6d3a1f4d-1245-4f4e-9610-6df771a5e1b1,0
EC PT facciata continua,a86d9245-0f62-432a-b128-5f4592d2a49c,0
EC PT infisso,4a65eb5d-c9f3-4a09-a368-980c6d6e8473,0
EC PT pilastro,fee599ff-d75e-456b-8ea5-617f9cd01899,0
EC Ombreggiamento,244a80c3-ec89-4c72-8912-84e54644c193,0
EC Spessore controsoffitto,84144064-48e7-464f-abca-7911c6ddcb73,0
LineOwnerId,fae6e84b-4843-48eb-9194-2ff7a8faaa14,0
_AreaLaterale,ae12fbe0-5e80-4c15-8743-8e876f5cfcce,0
XXX_TBS_I_Zona,7dbd4545-5c25-4b27-b323-6e34ca1535de,1
XXX_TBS_I_Fase,740585e8-ed9f-4306-8972-9e0bfcb8edd8,1
XXX_TBS_I_SistemaArgomento,126b7b3d-90ae-4894-a7d0-d7948369dc10,1
XXX_TBS_I_Tipo,b0fde7d3-7116-48e1-b6d6-8545797a7d98,1
XXX_TBS_I_Progressivo,0498ef09-ffa2-402a-bc4d-20ee83775734,0
XXX_TBS_I_ProgressivoTipo,f07d69bd-e4e7-4e2a-ab42-f656382b0ccd,0
XXX_TBS_I_CodiceEnac,78811dce-3f39-4568-ac21-4668472bb993,1
XXX_TBS_I_DrawnBy01,b362b3eb-dbcb-44cc-8540-9ea88602886e,1
XXX_TBS_I_DrawnBy03,3383aace-33b1-46fb-bc25-2a9a805655f5,1
XXX_TBS_I_CheckedBy01,392e3eca-bff0-4de4-b9c5-92e7e926eecc,1
XXX_TBS_I_CheckedBy02,531c16e1-6c80-450c-8ff2-59e48e0fd2f7,1
