Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfIY,Non trovato,694999,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfLX,Non trovato,695060,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfNy,Non trovato,695177,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfM7,Non trovato,695282,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfDr,Non trovato,695552,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfDq,Non trovato,695553,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfDt,Non trovato,695554,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfDs,Non trovato,695555,Non presente in IFC,1
ST_MUR_POR_500mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLfDR,Non trovato,695598,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLf1b,Non trovato,695824,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLf0j,Non trovato,695896,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLf3T,Non trovato,695976,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLf22,Non trovato,696055,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLf7H,Non trovato,696228,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLf6D,Non trovato,696312,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLgvD,Non trovato,696376,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLguT,Non trovato,696424,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLgxA,Non trovato,696511,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLgwr,Non trovato,696512,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLgw0,Non trovato,696565,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLg$1,Non trovato,696756,Non presente in IFC,1
ST_MUR_POR_500mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLg_6,Non trovato,696819,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,3R2C8RF4HBu980jcDqLgoo,Non trovato,697031,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,2HarEqe_j4zf8aFlCm6fd1,Non trovato,697146,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,2HarEqe_j4zf8aFlCm6fd0,Non trovato,697147,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,2HarEqe_j4zf8aFlCm6fd7,Non trovato,697148,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,2HarEqe_j4zf8aFlCm6fd6,Non trovato,697149,Non presente in IFC,1
ST_MUR_POR_500mm_CalcestruzzoArmato,IfcWall,Non trovato,2HarEqe_j4zf8aFlCm6f_z,Non trovato,697670,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,2HarEqe_j4zf8aFlCm6fzR,Non trovato,697760,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,2HarEqe_j4zf8aFlCm6fzQ,Non trovato,697761,Non presente in IFC,1
ST_MUR_POR_300mm_CalcestruzzoArmato,IfcWall,Non trovato,2HarEqe_j4zf8aFlCm6fzP,Non trovato,697762,Non presente in IFC,1
