Nome Materiale,ID Elemento,Verifica,Stato
Default,32,Codice non trovato nel database,0
Fase - Temporaneo,3132,Codice non trovato nel database,0
INC_Terreno,3159,Numero campi errato,0
INC_Terreno,3159,Codice non trovato nel database,0
Default - Muro,3160,Codice non trovato nel database,0
Default - Arredi,3162,Codice non trovato nel database,0
Default - Controsoffitto,3163,Codice non trovato nel database,0
Default - Finestre,3164,Codice non trovato nel database,0
Default - Calcestruzzo,3165,Codice non trovato nel database,0
Default - Vetro,3166,Codice non trovato nel database,0
Default - Tetto,3167,Codice non trovato nel database,0
Default - Topografia,3168,Codice non trovato nel database,0
Default - Grondaia,3172,Codice non trovato nel database,0
Fase - Demolizione,4050,Codice non trovato nel database,0
Fase - Esistente,4051,Codice non trovato nel database,0
Fase - Nuova,63436,Codice non trovato nel database,0
Forma di default,64546,Codice non trovato nel database,0
Apertura massa di default,71657,Codice non trovato nel database,0
Calcestruzzo armato muri,187982,Codice non trovato nel database,0
INC_Blocchi di laterizio,195459,Numero campi errato,0
INC_Blocchi di laterizio,195459,Codice non trovato nel database,0
INC_Massetto alleggerito in argilla espansa,195471,Numero campi errato,0
INC_Massetto alleggerito in argilla espansa,195471,Codice non trovato nel database,0
Magrone,195492,Codice non trovato nel database,0
Muro di default,201319,Codice non trovato nel database,0
Calcestruzzo - Calcestruzzo gettato in opera,201320,Codice non trovato nel database,0
Poche,201328,Codice non trovato nel database,0
INC_Intonaco interno,202432,Numero campi errato,0
INC_Intonaco interno,202432,Codice non trovato nel database,0
Materiale per il rendering 255-255-255,256259,Codice non trovato nel database,0
Materiale per il rendering 255-255-0,256262,Codice non trovato nel database,0
Materiale per il rendering 192-192-192,256265,Codice non trovato nel database,0
Materiale per il rendering 128-128-128,256268,Codice non trovato nel database,0
Metallo - Acciaio - 345 MPa,273414,Codice non trovato nel database,0
Render Material 255-255-255,308915,Codice non trovato nel database,0
Render Material 255-0-0,308916,Codice non trovato nel database,0
Render Material 0-165-165,308917,Codice non trovato nel database,0
Render Material 255-0-255,308939,Codice non trovato nel database,0
Render Material 255-255-0,308940,Codice non trovato nel database,0
Render Material 82-165-124,308941,Codice non trovato nel database,0
Render Material 82-145-165,308942,Codice non trovato nel database,0
Render Material 153-153-153,314050,Codice non trovato nel database,0
Render Material 192-192-192,314061,Codice non trovato nel database,0
Render Material 0-255-0,314076,Codice non trovato nel database,0
Render Material 0-255-255,316724,Codice non trovato nel database,0
Render Material 102-102-102,320781,Codice non trovato nel database,0
Sistemi-zone,364198,Codice non trovato nel database,0
Vani analitici,364670,Codice non trovato nel database,0
Muri esterni,364672,Codice non trovato nel database,0
Tetti,364674,Codice non trovato nel database,0
Solai di fondazione,364676,Codice non trovato nel database,0
Muri interni,364678,Codice non trovato nel database,0
Pavimenti interni,364680,Codice non trovato nel database,0
Controsoffitti,364682,Codice non trovato nel database,0
Superfici d'aria,364684,Codice non trovato nel database,0
Muri interrati,364686,Codice non trovato nel database,0
Finestre apribili,364688,Codice non trovato nel database,0
Lucernari apribili,364690,Codice non trovato nel database,0
Porte scorrevoli,364692,Codice non trovato nel database,0
Aperture di aerazione,364694,Codice non trovato nel database,0
Ombre,364696,Codice non trovato nel database,0
Materiale per il rendering 255-0-0,396986,Codice non trovato nel database,0
Materiale per il rendering 0-255-0,396987,Codice non trovato nel database,0
Materiale per il rendering 0-255-255,396988,Codice non trovato nel database,0
Materiale per il rendering 0-0-255,396989,Codice non trovato nel database,0
Materiale per il rendering 255-0-255,396990,Codice non trovato nel database,0
Materiale per il rendering 255-127-0,396991,Codice non trovato nel database,0
Render Material 204-204-204,396992,Codice non trovato nel database,0
Render Material 127-79-63,396993,Codice non trovato nel database,0
Render Material 165-41-0,396994,Codice non trovato nel database,0
Render Material 124-165-0,396995,Codice non trovato nel database,0
Materiale per il rendering 31-127-0,396996,Codice non trovato nel database,0
Materiale per il rendering 82-165-103,396997,Codice non trovato nel database,0
Materiale per il rendering 255-127-127,396998,Codice non trovato nel database,0
Materiale per il rendering 127-255-127,396999,Codice non trovato nel database,0
Calcestruzzo - Calcestruzzo prefabbricato - 35 MPa,419243,Codice non trovato nel database,0
Pannelli analitici,585993,Codice non trovato nel database,0
Carichi analitici elettrici,586099,Codice non trovato nel database,0
Calcestruzzo armato fondazioni,618850,Codice non trovato nel database,0
_C.A. gettato in opera-pali fondazione,715367,Numero campi errato,0
_C.A. gettato in opera-pali fondazione,715367,Codice non trovato nel database,0
Maniglia a leva,727111,Codice non trovato nel database,0
Maniglia - Serratura,727112,Codice non trovato nel database,0
