Categoria,Id Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Muri,694999,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695060,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695177,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695282,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695552,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695553,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695554,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695555,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695598,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695824,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695896,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,695976,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,696055,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,696228,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,696312,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,696376,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,696424,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,696511,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Elemento non vincolato correttamente tra livelli.,0
Muri,696512,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Elemento non vincolato correttamente tra livelli.,0
Muri,696565,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Elemento non vincolato correttamente tra livelli.,0
Muri,696756,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Elemento non vincolato correttamente tra livelli.,0
Muri,696819,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Elemento non vincolato correttamente tra livelli.,0
Muri,697031,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Elemento non vincolato correttamente tra livelli.,0
Muri,697146,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,697147,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,697148,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Muri,697149,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
