Categoria,Id Elemento,Nome Elemento,Pin Attivo,Stato
Griglie,658877,01,Pinnato,1
Griglie,659059,02,Pinnato,1
Griglie,659066,03,Pinnato,1
Griglie,659079,04,Pinnato,1
Griglie,659090,05,Pinnato,1
Griglie,659101,06,Pinnato,1
Griglie,659110,07,Pinnato,1
Griglie,659121,08,Pinnato,1
Griglie,659132,09,Pinnato,1
Griglie,659143,10,Pinnato,1
Griglie,659154,11,Pinnato,1
Griglie,659163,12,Pinnato,1
Griglie,659172,13,Pinnato,1
Griglie,659181,14,Pinnato,1
Griglie,659190,15,Pinnato,1
Griglie,659199,16,Pinnato,1
Griglie,659212,17,Pinnato,1
Griglie,659225,18,Pinnato,1
Griglie,659234,19,Pinnato,1
Griglie,659247,20,Pinnato,1
Griglie,659256,21,Pinnato,1
Griglie,659263,22,Pinnato,1
Griglie,659279,23,Pinnato,1
Griglie,659288,24,Pinnato,1
Griglie,659299,25,Pinnato,1
Griglie,659326,28,Pinnato,1
Griglie,659574,A,Pinnato,1
Griglie,659653,B,Pinnato,1
Griglie,659694,C,Pinnato,1
Griglie,659703,D,Pinnato,1
Griglie,659710,E,Pinnato,1
Griglie,659717,G,Pinnato,1
Griglie,659726,H,Pinnato,1
Griglie,659733,J,Pinnato,1
Griglie,659740,K,Pinnato,1
Griglie,659747,L,Pinnato,1
Griglie,659779,M,Pinnato,1
Griglie,674776,I,Pinnato,1
Griglie,674864,F,Pinnato,1
Griglie,686995,26,Pinnato,1
Griglie,686996,27,Pinnato,1
Griglie,687087,A',Pinnato,1
Griglie,696203,B',Pinnato,1
Griglie,696323,15'',Pinnato,1
Griglie,696387,15',Pinnato,1
Griglie,696507,21',Pinnato,1
Griglie,696610,E',Pinnato,1
Griglie,699275,12',Pinnato,1
Griglie,699282,13',Pinnato,1
Livelli,311,AR_LIV_PE_P00_+0.00m,Non Pinnato,0
Livelli,638329,AR_LIV_PE_P01_+5.20m,Non Pinnato,0
Livelli,638415,AR_LIV_PE_P02_+10.40m,Non Pinnato,0
Livelli,661130,ST_LIV_PE_P01_+5.08m,Pinnato,1
Livelli,661520,ST_LIV_PE_P00_-0.48m,Pinnato,1
Livelli,661624,ST_LIV_PE_P02_+10.28m,Pinnato,1
Livelli,661743,AR_LIV_PE_PC2_+15.73m,Non Pinnato,0
Livelli,661744,ST_LIV_PE_PC2_+15.48m,Pinnato,1
Livelli,670266,AR_LIV_PE_PC1_+12.83m,Non Pinnato,0
Livelli,675252,ST_LIV_PE_PC1_+12.50m,Pinnato,1
Livelli,687262,ST_LIV_PE_PC3_+19.85m,Pinnato,1
Livelli,687388,ST_LIV_PE_PC2_+16.25m,Pinnato,1
Livelli,699081,AR_LIV_PE_PC3_+20.17m,Non Pinnato,0
