Nome Materiale,ID Elemento,Verifica,Stato
Poche,454389,Codice non trovato nel database,0
GL-Glass,601732,Codice non trovato nel database,0
SC-Screed-Lightened,601734,Codice non trovato nel database,0
PL-Plaster-Cement,601738,Codice non trovato nel database,0
PL-Plaster-Cement-WaterbasedFinish,601739,Codice non trovato nel database,0
GX-Generic,601743,Codice non trovato nel database,0
GX-GenericStructure,601744,Codice non trovato nel database,0
SC-Screed,601758,Codice non trovato nel database,0
SC-Screed-Sloped,601759,Codice non trovato nel database,0
SC-Screed-Reinforced,601760,Codice non trovato nel database,0
SC-Screed-LightenedSloped,601761,Codice non trovato nel database,0
SC-Screed-Lightened-LecacemClassic,601763,Codice non trovato nel database,0
IS-EPS-Sheet-50mm,601775,Codice non trovato nel database,0
IS-XPS-Sheet-50mm,601779,Codice non trovato nel database,0
IS-WoodenWool,601783,Codice non trovato nel database,0
IS-MineralWool,601784,Codice non trovato nel database,0
PL-Plaster,601795,Codice non trovato nel database,0
PL-Plaster-Lime,601796,Codice non trovato nel database,0
PL-Plaster-Veneer,601797,Codice non trovato nel database,0
PL-Plaster-Cement-EnamelFinish,601798,Codice non trovato nel database,0
PL-SkimCoat,601799,Codice non trovato nel database,0
PL-SkimCoat-Rasatutto,601800,Codice non trovato nel database,0
PN-Paint,601803,Codice non trovato nel database,0
PN-Paint-Waterbased,601804,Codice non trovato nel database,0
PN-Paint-Enamel,601805,Codice non trovato nel database,0
PN-Paint-SemiWaterbased,601806,Codice non trovato nel database,0
PN-Paint-Silicate,601807,Codice non trovato nel database,0
ME-Steel-Grating-Galvanized,601813,Codice non trovato nel database,0
GS-Air,601818,Codice non trovato nel database,0
IS-RockWool,601843,Codice non trovato nel database,0
GL-GlassOpaque,601844,Codice non trovato nel database,0
SN-MixStone-Tile-MaspeBiancoCarrara,601859,Codice non trovato nel database,0
PB-Plastboard-Sheet-SiniatSolidtex,601866,Codice non trovato nel database,0
PB-Plastboard-Sheet-SiniatPregyPlacBA13,601867,Codice non trovato nel database,0
PB-Plastboard-Sheet-SiniatPregyFlamBA15,601868,Codice non trovato nel database,0
PB-Plastboard-Sheet-SiniatPregyVapourBA13,601869,Codice non trovato nel database,0
PB-Plastboard-Sheet-SiniatLaDuraBA15,601870,Codice non trovato nel database,0
Render Material 255-255-255,612844,Codice non trovato nel database,0
Render Material 0-255-0,612847,Codice non trovato nel database,0
Render Material 255-0-255,612854,Codice non trovato nel database,0
Render Material 255-0-191,612869,Codice non trovato nel database,0
Render Material 128-128-128,612872,Codice non trovato nel database,0
Render Material 255-255-0,612877,Codice non trovato nel database,0
Render Material 0-127-255,612886,Codice non trovato nel database,0
Render Material 0-255-255,612889,Codice non trovato nel database,0
Render Material 255-127-0,612896,Codice non trovato nel database,0
Render Material 255-127-255,612905,Codice non trovato nel database,0
Render Material 165-124-0,612922,Codice non trovato nel database,0
Render Material 0-255-191,612927,Codice non trovato nel database,0
Render Material 255-63-0,612932,Codice non trovato nel database,0
Render Material 0-165-0,612935,Codice non trovato nel database,0
Render Material 127-223-255,612938,Codice non trovato nel database,0
Render Material 255-191-0,612941,Codice non trovato nel database,0
Render Material 0-82-165,612944,Codice non trovato nel database,0
Render Material 101-101-101,612969,Codice non trovato nel database,0
Render Material 255-127-223,612972,Codice non trovato nel database,0
Render Material 255-0-0,612981,Codice non trovato nel database,0
Render Material 63-255-0,612984,Codice non trovato nel database,0
Render Material 0-63-255,612989,Codice non trovato nel database,0
Render Material 255-255-127,612994,Codice non trovato nel database,0
Render Material 0-124-165,612997,Codice non trovato nel database,0
Render Material 204-204-204,613000,Codice non trovato nel database,0
Render Material 0-191-255,613003,Codice non trovato nel database,0
Render Material 192-192-192,613022,Codice non trovato nel database,0
Render Material 223-127-255,613029,Codice non trovato nel database,0
Render Material 165-0-165,613034,Codice non trovato nel database,0
Render Material 255-159-127,613037,Codice non trovato nel database,0
Render Material 127-255-0,613040,Codice non trovato nel database,0
Render Material 159-127-255,613043,Codice non trovato nel database,0
Render Material 191-127-255,613058,Codice non trovato nel database,0
Render Material 82-165-0,613061,Codice non trovato nel database,0
Render Material 153-153-153,613070,Codice non trovato nel database,0
Render Material 255-223-127,613079,Codice non trovato nel database,0
Render Material 255-127-127,613082,Codice non trovato nel database,0
Render Material 165-82-0,613093,Codice non trovato nel database,0
Render Material 63-127-0,613096,Codice non trovato nel database,0
Render Material 145-165-82,613107,Codice non trovato nel database,0
Render Material 191-255-0,613110,Codice non trovato nel database,0
Render Material 0-255-63,613125,Codice non trovato nel database,0
Render Material 255-191-127,613132,Codice non trovato nel database,0
Render Material 102-102-102,613135,Codice non trovato nel database,0
Render Material 191-0-255,613140,Codice non trovato nel database,0
Render Material 0-127-0,613145,Codice non trovato nel database,0
